,WT_R1,WT_R2,WT_R3,WT_R4,A3_R1,A3_R2,A4_R1,A4_R2,DRelA_R1,DRelA_R2
PP_2764,0.749737656,0,0,0.389568381,0.31731544,0,1.027546605,0.950523934,0,0
PP_2765,0.666231816,1.126242887,1.359881355,1.000861023,1.53946033,0.819345457,0.488000049,2.141912341,1.433115481,0.448660324
PP_2766,1.273070962,1.642064025,2.367324214,1.812876642,2.227224669,2.070093496,2.038807759,2.34237345,2.098765258,2.568244109
PP_2767,0.82233957,0.734304354,0.329224731,1.748023592,0.272624651,1.322667572,1.266019859,1.210492779,0.455167506,0.563139045
PP_2768,4.782279485,4.521256182,4.527240408,4.447599,4.081715383,3.49226157,2.69609695,2.800143303,5.241521377,5.463380333
PP_2769,4.004544501,3.831151764,4.14003704,4.746274672,4.613819044,4.124693152,2.991836093,3.268569086,3.942728109,4.177796146
PP_2770,1.871387776,1.865738998,1.903834218,2.103861283,2.513950605,2.462941941,2.551477923,2.959915373,1.834922419,2.380255609
PP_2771,2.671310751,2.77615591,2.593661904,3.280188361,3.095012623,2.469315787,3.586750575,3.99058018,3.881167688,3.930929877
PP_2772,2.901960365,2.500861909,2.903168414,3.716850301,3.469776728,3.005168031,3.723563814,4.282292867,3.862559448,4.137369832
PP_2773,0,0,0,0,0,0,0,0,1.553779934,0
PP_2774,1.965255878,2.361127403,2.159871376,2.117097926,2.816252584,2.392026272,2.658136559,2.777788183,2.183715399,2.048096348
PP_2775,3.281367981,3.465418292,2.610220639,3.319037505,2.452768246,2.597038031,2.999345192,2.822323278,1.983860578,2.785916029
PP_2776,1.62319334,1.483925289,2.002940773,1.645913014,1.859458621,2.872694511,2.995573908,3.103049672,1.003279093,1.926625272
PP_2777,3.148015244,2.548937371,2.806877166,2.670414177,1.333919615,1.78212638,1.610962534,2.386228302,1.664384149,2.167104174
PP_2778,1.861255108,1.727076643,1.506329807,1.610428961,2.043801285,1.896290667,0.755255741,0.753918506,1.144603991,2.04168079
PP_2779,1.751541927,1.759340208,1.473581132,1.594076954,1.957555813,2.117960335,1.598939411,1.496786143,1.280168911,2.225894648
PP_2780,1.985791513,2.04464002,1.491148655,1.59467057,2.117713796,1.652075777,1.975585514,1.233003885,1.948266886,1.72254046
PP_2781,1.130887174,1.419508677,1.041762856,1.487638217,0.778984863,1.023926831,0.786898646,1.180464244,0.820520118,0.989907866
PP_2782,2.041716717,1.833657732,1.587820978,1.53564276,1.290928846,1.010974232,1.825792768,1.460517265,1.750701594,1.93996241
PP_2783,0.901551373,0.807189722,0.659262842,1.619698614,0.956128837,1.528463615,1.371550403,1.129551477,1.174654327,1.231904963
PP_2784,1.173903722,2.047749916,1.563646275,1.099549254,1.09335776,0.78855197,1.721282374,1.839387357,1.59539816,1.029263595
PP_2785,0.699581414,1.00443045,0.584683186,0.888771879,0.744857797,0.900835983,1.312407903,1.017738941,0.567623544,1.516830293
PP_2786,0.968570808,1.466367105,1.340574996,1.360096732,1.293259876,1.499950997,0.906862641,1.207556823,1.076451041,1.414243171
PP_2787,2.932388558,2.765669018,2.440092444,2.571807327,2.13504381,1.788226948,1.265495223,1.632900096,1.7538403,2.22180522
PP_2788,1.16972488,1.955480776,1.415684029,1.43584748,0.927706109,1.961343986,0.817039145,0,1.383508565,1.352397941
PP_2789,2.768218533,2.395057814,2.731611493,3.037599361,1.281352062,0.755653852,1.552231434,0,2.022064592,2.304798283
PP_2790,5.161897688,5.029703221,4.668320478,4.648547759,5.243654767,5.066292522,5.019930376,5.059487786,4.720401905,4.85567191
PP_2791,1.355258769,1.395957267,0.812566544,1.644659823,1.654445691,1.30831755,2.326499043,2.396498494,0.348933601,1.370121292
PP_2792,0,1.022791879,0.676162211,0,1.556106352,1.354036562,1.951341248,0.689776007,0,0
PP_2793,1.732190591,1.606554548,1.066201419,2.183341534,2.276934446,2.365263165,2.727034652,3.318034709,0.611323691,0.593982237
PP_2794,1.808436948,2.202493988,2.117715551,2.232618075,2.463913113,2.028263307,2.479402097,2.548843594,2.329922506,1.73685273
PP_2795,1.819755479,2.009362239,1.847035017,1.515639855,2.648351883,2.581727032,1.766612039,2.241470606,1.525802955,1.293702284
PP_2796,0,0.649210448,1.212372175,0,1.04880677,1.652075777,0.537258324,1.233003885,0,0
PP_2797,2.032664201,2.041044051,1.111345352,1.754114279,1.628804136,2.095037322,0.694548558,0.732088268,0.457517137,0.443890529
PP_2798,1.268975866,1.941687898,1.526915362,0.972344453,1.101086737,1.652075777,0.21555082,0,1.605124003,0.524191757
PP_2799,1.781882772,2.073771937,1.350445164,1.613645359,1.649855963,0.931854333,0.614411884,1.078901071,1.361762594,1.288952267
PP_2800,0.821090391,0.79564987,1.898721465,1.545129997,2.156985288,1.998766794,0.766456442,1.785853688,0.799423966,0.562209984
PP_2801,0.837751535,1.27784166,0.678431742,0.546400025,1.830962324,1.609372129,1.286704815,1.509360056,0.902132416,0.984455964
PP_2802,0.56681531,0.872915986,0.850286802,0.577789318,1.203481673,0.876505148,0.286905829,0.579104448,0,0.201067278
PP_2803,0.745128895,0.5530678,0.927798262,0.943122812,1.212879728,1.120627118,0,0,0,0.418102261
PP_2804,0.449681958,0,1.3012197,0.998719614,0.84170625,0.709539469,0.416214644,0,1.0423166,0.540636029
PP_2805,1.530696705,1.611132476,1.696563873,0.8948386,1.373695969,1.935769035,0.656109045,0.780853783,0.85665004,0.936020775
PP_2806,7.131289016,6.989714202,7.399023389,7.306468381,6.655361226,6.965729212,5.218036945,5.68491023,7.504901421,7.297047241
PP_2807,2.086519034,2.244801988,1.76878765,1.570221424,2.405479252,2.152795857,1.213894854,1.572863311,1.032263225,1.229853322
PP_2808,3.23797799,3.206315699,2.85877173,2.756018359,3.168756511,3.22386905,2.146577433,2.615876197,1.893363216,2.302063913
PP_2809,2.376126673,2.340544735,1.867804351,1.324945293,2.64521277,1.953765434,1.006158036,1.142423184,1.187858026,1.068207013
PP_2810,1.234156751,0.721576767,0.92789444,1.253519062,1.782861973,1.785358535,1.021853806,0.693239636,0.521381409,0.641878972
PP_2811,2.453262535,2.647902676,1.738915022,1.703839644,2.972758525,2.892073173,1.474907968,1.518230067,1.525802955,2.05139118
PP_2812,1.843526022,2.199468259,2.292228449,1.894388989,3.033663178,2.503286841,1.77731632,2.063277816,1.547466209,1.614846765
PP_2813,3.602469653,3.322665731,3.543212171,3.232701707,3.494368763,3.294799279,3.155466309,3.23626012,3.012332021,3.306274322
PP_2814,3.590692755,2.921004215,3.022643268,3.56130765,3.318068907,3.589056924,1.007321961,1.815452303,1.047420296,1.814591149
PP_2815,4.210018488,4.55564987,4.090163461,4.10587795,4.348727348,4.296119704,4.33364048,4.27513249,4.408560133,4.577332523
PP_2816,0.885230412,1.202078353,0.46135569,1.108327746,0.384911643,1.441774375,0.331333633,0,0,0.433990242
PP_2817,0.508718131,0.405562966,0.956377758,0.46951248,1.501543339,1.440171343,2.320396159,2.280078721,0.347298531,1.03635873
PP_2818,1.584146129,1.407229879,1.438081452,1.383078735,1.806133878,1.404089418,1.209035634,1.567191373,1.526163932,1.541358502
PP_2819,2.614868377,2.581307477,3.402882615,3.49302084,2.232854338,2.250697251,1.470176874,0.831352838,2.104252823,2.988691967
PP_2820,4.877892156,5.130621928,5.621924902,5.499591695,2.970018765,2.853842002,2.643083057,1.74658199,4.533788633,4.737487715
PP_2821,1.752790447,1.241707839,1.636353631,1.055288012,2.39996532,3.406795466,1.059061515,0.623451355,0.817948918,1.567555469
PP_2823,1.405104196,1.081810467,1.423478905,1.041648128,2.124410931,2.514964518,0.915789826,1.298404487,0.95332165,0.785047503
PP_2824,4.470150894,4.602331959,3.918674821,3.978368268,3.955686851,4.488274721,4.042772897,3.794093134,3.957273231,4.300647402
PP_2825,1.901353592,2.788115608,2.971902565,2.378481484,1.687937019,2.190238811,2.340492937,3.085272932,3.046946708,2.392452705
PP_2826,5.613912251,5.57833721,5.887134913,5.854634853,5.384263665,5.251805178,4.776899619,4.722285756,5.135541998,5.623914257
PP_2827,6.392444996,6.464340097,6.680696743,6.830993093,6.823791423,6.942642432,6.651465438,6.728163125,5.695329976,6.099137933
PP_2828,2.92425571,2.691486868,2.678344927,3.152138991,2.287437554,2.267848393,2.415440571,2.354450883,1.589680171,2.199484622
PP_2829,2.904160171,2.524396046,2.207840637,2.729542406,2.153194757,1.832038022,2.082291163,2.236203153,1.608680169,2.027921574
PP_2830,1.80214248,1.398861078,1.276635464,1.70618334,1.781235951,2.439196895,0.900284295,0.980041512,0.75383559,0.795887517
PP_2831,1.55814258,1.481175159,1.537727018,1.374265958,3.67741266,3.132472485,3.020214451,2.777112016,1.460875316,1.471291145
PP_2832,3.941538991,3.641889232,3.258626449,3.724978349,3.933129717,3.568159411,3.424257564,3.894876539,4.193633579,4.029847602
PP_2833,3.233608038,3.134691395,3.558158384,3.3215485,3.362067261,3.261386253,3.432472525,3.419390738,3.442051252,3.491082463
PP_2834,1.295802096,1.601667523,1.255308971,1.645064469,2.399813744,1.818663008,1.582942165,1.436587473,1.140398787,1.421983589
PP_2835,1.434476387,2.011066923,2.238444923,2.198917958,2.17651427,1.229252862,1.576122759,0.709748368,1.628920305,1.958402485
PP_2836,3.152807249,3.174799899,2.430207799,2.753888133,3.143457354,3.40572315,2.568576924,2.757280011,2.188169719,2.392835894
PP_2837,2.527894243,2.818329262,2.559310605,2.70152424,3.223416053,3.524830528,1.923826847,2.174020147,2.325776289,2.659462218
PP_2838,4.904361014,4.894871062,4.915038289,4.795853371,5.547246307,5.290302666,4.971629683,5.034305491,4.555365253,4.951609885
PP_2839,4.011426459,4.112063781,4.125189158,4.309451313,4.537439846,4.09232394,3.697646191,3.621608825,4.013344958,4.326558438
PP_2840,1.150630837,1.671658596,2.465529005,2.39372282,0.794169071,1.405093857,1.314703601,0.638351024,1.855283904,1.818711369
PP_2841,5.367245249,4.983837976,5.070080265,5.50837535,5.324762371,5.249343053,5.794196045,6.13096915,4.917135156,5.147015683
PP_2842,1.229264664,0.914406459,1.19010301,0.608069237,1.717227256,1.41580778,2.906504606,2.761781702,2.117188925,2.698446363
PP_2843,1.863055635,0,0.768998544,0,1.947339694,0.93836298,3.124013848,2.41455841,1.013548169,1.569126914
PP_2844,1.813007468,1.729442045,1.227715149,1.61270822,1.062758081,1.207827757,2.894484654,2.15052828,3.132196404,2.044246593
PP_2845,3.65187732,3.469180132,3.448570871,3.444142977,2.78832567,2.913682943,3.433617836,3.37802386,3.974048031,3.526416052
PP_2846,1.947926853,1.973042071,1.641190196,2.41518572,2.622672474,2.197100916,3.403631952,3.141194822,3.063516114,2.706305472
PP_2847,1.863438073,2.237035147,3.007812473,2.632605548,1.182740787,1.718841155,1.226778512,2.073730445,2.311422256,2.09759404
PP_2848,2.580655358,2.864769225,3.206705051,3.867686283,3.621150046,3.301570356,3.398469397,3.58955048,3.46990986,2.657202153
PP_2849,3.49366058,3.54086507,3.943325159,3.802872679,4.188190979,4.513489456,4.541630958,4.417273938,3.236467214,2.753010775
PP_2851,3.082293122,2.769631111,3.058353784,3.971835075,1.414380629,0.966438478,0.68045598,1.323768176,0.88642784,1.242082875
PP_2852,5.438596553,5.366092908,5.405649655,5.472960555,5.108804353,5.082243355,5.065399519,5.29844644,5.106944251,5.167072788
PP_2853,8.75351745,8.726435981,8.479610524,9.250937199,8.304956138,8.540116977,7.185717394,7.069929451,5.03965388,5.85579463
PP_2854,3.281066793,3.879492037,2.739311148,3.553343751,2.228227486,2.286676176,1.115651001,1.113883817,2.099742722,2.652543339
PP_2855,3.091700258,2.486450496,3.038863676,2.95216988,2.607233518,3.228583767,2.150665716,1.551286878,2.212031772,2.348286116
PP_2856,4.428274596,4.523009742,4.041559451,4.725520868,3.152060961,3.162924979,2.733743839,2.719971958,2.927570611,3.496950428
PP_2857,0.35220643,0,0,1.092234292,0,1.137987266,1.008155053,1.329730684,0,0
PP_2858,0.44924186,0.880850668,1.300242976,0.99789853,0.480919726,1.18213096,0.41580279,1.321793357,0,1.240184636
PP_2859,2.127777464,2.466904308,3.149252538,1.722363451,2.55256698,2.614141406,3.204488619,3.053583361,4.110477978,4.001099898
PP_2860,4.142318559,4.053850296,2.888732575,3.184548829,1.650975292,1.566459021,2.794529342,2.991844381,5.271517057,4.734462573
PP_2861,7.499706865,6.289503038,5.653172559,4.441988596,5.672505946,5.489644082,0.98985986,1.051847169,3.43894842,3.908126429
PP_2862,6.147971726,6.317351474,6.220504584,6.567347971,5.681922877,5.778191061,4.17274997,4.408587342,5.023701911,5.352956852
PP_2863,4.811577229,4.357092471,6.04323224,6.344620534,5.476877407,5.043222348,3.127379871,2.763550798,5.038814806,5.280617761
PP_2864,3.840854713,3.941116024,4.140889669,4.123438121,4.708432604,4.930745091,4.224320066,4.509066787,3.918069323,4.339139531
PP_2865,4.88570367,4.684936471,4.400924339,4.800818121,5.734942107,5.721642336,5.382542607,5.686404266,4.310673902,4.526806241
PP_2866,2.049459868,2.004703093,2.719566379,2.192297189,0.887523745,1.494546893,2.407630175,1.950152763,1.007597169,1.392869111
PP_2867,6.428223229,6.357521875,6.464145604,6.412160406,6.700412234,6.64757832,6.492394856,6.732787231,5.705811986,6.163881733
PP_2868,4.374821876,4.531518592,4.483403984,4.089422041,4.815834188,5.043623618,4.61022675,4.628534816,4.211209526,4.108775811
PP_2869,2.230640361,1.622713172,1.277406064,1.360697552,3.690495622,3.298512175,1.36513779,1.698806907,1.537131614,1.742640894
PP_2870,3.166789857,3.104357134,1.70180484,2.487383474,5.125385279,5.314214459,1.928496167,1.531137573,2.364454914,2.085078993
PP_2871,2.605161353,2.614426186,2.22520064,3.090349187,6.570898465,6.654296189,4.094111608,4.131356417,0.862611201,2.228589267
PP_2872,6.260458709,6.291691723,6.748702441,7.237850684,5.424603203,5.467017969,5.341894803,5.748487369,5.111057148,5.578925178
PP_2873,5.06065969,5.049711373,5.097458259,6.093593215,4.833334783,5.118525276,5.172608409,4.674491895,5.267336337,4.940941248
PP_2874,10.67733101,10.21250449,11.39844297,11.38223831,8.710248035,8.434112961,7.25547742,7.335994604,10.94053652,11.63758089
PP_2875,7.877660265,7.096998572,7.788705504,7.467273566,5.749418002,6.648467143,3.564579683,3.084368737,3.996286348,3.623702549
PP_2876,5.608944288,5.678394513,5.628157502,5.485763746,5.937175728,5.805051547,5.490811936,5.31989518,5.443193885,5.472149006
PP_2877,3.338299571,3.095937249,3.544745517,3.035766546,2.413888138,2.115318108,1.972363977,1.858264685,2.031430893,2.757834682
PP_2878,0,0,0,0,0,0,0,0,0,1.058949225
PP_2879,2.847883132,2.849684051,2.969926606,3.589165279,3.286455772,3.888646988,3.624940328,3.548023999,3.221730169,3.848152414
PP_2880,4.601452773,4.537883564,4.762331673,5.016876625,4.005648593,3.736188986,4.138404245,4.081155476,3.98199595,4.559554375
PP_2881,5.032332372,4.640274402,4.402489699,4.619883722,5.400160942,5.954122421,3.848398971,4.050432023,3.032721794,3.467617439
PP_2882,5.056739776,4.939416143,4.99661204,5.232479087,4.117135078,4.615636873,3.066917053,2.957773186,3.177137262,3.929710461
PP_2883,2.069315861,2.404729785,1.647688355,2.915332886,2.157728756,2.233256876,3.136687706,2.772514695,2.842807992,3.763776371
PP_2884,5.862269146,5.995596922,6.212832054,6.1822943,6.011312581,5.956811846,6.170790579,5.837196855,6.444093668,6.525281662
PP_2885,4.580721771,4.968473721,4.90031336,4.922937714,4.995435379,4.849723458,4.977106581,4.976653168,4.829134145,5.445932225
PP_2886,1.13689845,0.427858051,0.485508276,1.155268671,1.710387453,0.333820862,1.793649101,2.230187218,0,1.316408189
PP_2887,1.714750909,1.712856076,1.781113787,2.244175956,0.991831029,1.442515539,3.224634695,3.374341691,1.612151395,2.19961311
PP_2888,4.942270637,4.517003396,4.828851463,5.017272615,4.242819383,3.943105832,4.037509071,4.3436155,4.401619313,4.270215656
PP_2889,2.798181254,3.143843003,3.067082545,3.721503536,4.885732539,4.438933925,4.942826735,5.155311311,2.840335851,3.465546254
PP_2890,7.038141367,7.167149375,6.83376323,6.751434165,6.114331689,6.298018199,6.759831286,6.707798011,6.691501425,6.621611628
PP_2891,6.366101547,6.191502116,6.530089117,6.966896999,6.536510131,6.668466696,5.089306332,5.204662337,3.052877015,4.306685508
PP_2892,6.401350267,6.293545442,5.994572696,6.020655428,6.634941713,6.714346072,6.040698809,5.944720352,6.423089337,6.326638357
PP_2893,5.033916359,5.299654379,5.229138004,5.41133792,5.366501637,5.255821691,4.761786499,4.910494944,5.702131952,5.944260811
PP_2894,0.365633362,0.734994213,1.107623884,0,1.523198734,1.461316636,1.509055437,0,0.638843178,0
PP_2895,3.575734025,3.935055662,3.361399873,3.079543798,3.487569075,3.684670619,4.207832565,3.798025106,2.123096142,3.017482373
PP_2896,0,0,1.084499897,0,0,0.448501325,0.821929902,0,0,0
PP_2898,0.406327176,0.806771674,0,0,0,0,0.375681335,0.531233188,0,0.854964589
PP_2899,0,0,3.323702502,3.180036473,1.499905268,0,0,0,4.998811746,3.522558586
PP_2900,5.268095714,5.88177626,5.812969359,4.417697269,1.915152264,2.629045399,4.608846143,4.164053019,2.758382465,6.202316026
PP_2901,3.105018204,4.191868881,3.341089267,2.651419565,3.207106756,3.590576596,6.794194028,6.082909562,3.294469405,5.980126465
PP_2902,6.080570552,6.173448796,6.260843539,6.314632976,6.627556797,6.576828226,6.215716556,6.474234616,6.677954388,6.346957923
PP_2903,9.068992127,9.219918799,9.033883004,9.192812221,7.826079418,8.08494011,8.024596597,7.961854283,8.187893357,8.158489803
PP_2904,8.183449774,8.345788841,7.95088298,7.880500681,8.086200017,8.034812023,8.67300027,8.641637049,8.268541616,8.103601382
PP_2905,8.288168367,8.404173515,8.375543393,8.313889537,8.304301352,8.161454606,8.642444058,8.646609096,8.193932849,8.178173951
PP_2906,4.313346134,4.188793241,4.269408699,4.646080507,4.724391661,4.733210644,4.476702219,4.631680982,3.701218133,4.040503131
PP_2907,6.816334181,6.765364706,6.553024347,6.960587788,5.787748056,5.661867806,5.757824353,5.872871519,5.896914362,5.843324525
PP_2908,6.701588114,6.887430581,6.320526834,6.544072163,6.050650609,6.098969334,6.408487718,6.483478077,6.17196029,6.196925873
PP_2909,3.601641877,3.666424661,3.628650757,4.076597823,3.303112296,3.544794379,2.457774114,2.266321545,1.535198582,1.695934224
PP_2910,4.033119949,3.990952301,3.57790718,3.782520226,4.291976853,4.518304863,3.182980329,3.180058921,2.941035299,2.972071279
PP_2911,2.627809219,2.390377038,1.655891599,1.994645764,1.752307744,2.535929335,0.706315764,1.450506373,0.917934731,1.364111428
PP_2912,5.667191221,5.653125784,5.514806653,5.583494648,5.512024663,5.718853361,5.634094852,5.652138198,5.467908535,4.977954651
PP_2913,9.144069019,9.033084081,8.938080348,8.47926847,8.269146369,8.292488674,9.182306567,9.31494855,9.389340658,9.609236189
PP_2914,2.844935251,2.884778886,2.742569811,2.943712668,2.735208698,3.250981094,3.551551213,3.850476594,3.35999665,2.744041953
PP_2915,3.578977793,3.491410662,3.543055816,2.580432383,4.153809889,4.279925552,4.161596079,4.232240717,3.638700105,4.148160829
PP_2916,6.188401373,6.491598899,5.439669805,5.590102261,4.92845471,5.073357622,4.909288435,4.849224258,5.36635806,5.773655974
PP_2918,2.769002936,2.927746781,2.697242243,2.472691797,3.068802029,3.060299032,3.125865482,3.146203285,2.291065158,2.720497498
PP_2919,3.605111934,3.684574302,3.300196542,3.690144721,4.044156296,4.118418575,3.08741922,3.188957808,3.287317003,3.786407205
PP_2920,1.731722193,1.969500826,2.130804071,2.411324579,1.499905268,2.164187584,0.974354983,0.657678115,1.602998599,1.958026482
PP_2921,3.195881555,2.69693268,2.878812501,2.554316991,3.096166013,3.04221234,2.420676433,1.923255079,2.718920016,2.60253914
PP_2922,2.571630289,2.371885195,2.59921811,2.677716038,4.1665337,3.587677043,2.903166749,3.189035462,1.184804574,2.406666392
PP_2923,2.63868622,2.623032691,2.803273929,3.697655161,3.392732902,3.528528089,3.253344,3.027457984,2.507798358,3.074888751
PP_2924,4.099306876,4.094250225,3.972930192,3.971218445,4.886414744,4.671016054,4.259633853,4.112881473,3.445691784,4.134160654
PP_2925,6.33879816,6.355775841,5.963477881,6.770139908,5.543619718,5.837827661,4.321759933,4.440589628,2.53030457,3.421600154
PP_2926,0.785344254,1.169831357,0.97497292,1.490636164,0.72503729,0.607512614,0.15089572,0.220344699,0,0.535711932
PP_2927,4.477115549,4.796423455,4.421148037,5.042295709,3.833723925,4.048760421,2.921548225,3.129005449,2.518233531,2.972294736
PP_2928,8.005683518,8.486596637,8.117608185,7.521026568,6.812171268,6.903483335,7.986889692,7.904873576,9.001654002,8.435709311
PP_2929,7.007738075,7.186874649,6.876112317,6.191616031,7.534726709,7.554122592,8.633596125,8.572971777,7.953540926,7.553300208
PP_2930,4.135752299,4.160462166,4.746998908,4.726950232,5.575337505,5.235651704,5.24868693,5.230273642,4.678278413,4.981190811
PP_2931,3.653665366,3.732913328,3.378297611,3.320490644,3.861016429,3.888517795,3.8786195,4.101366218,4.463267711,3.863285444
PP_2932,5.946504725,5.998625296,5.854711658,5.994808388,5.729388172,5.447693103,5.951722447,6.010297586,5.99263167,6.192577978
PP_2933,7.372839546,7.256205832,7.584693983,7.534281444,6.43983154,6.537946505,5.702716287,5.720992288,5.750768495,6.276626782
PP_2934,3.823818284,3.554675438,3.835471749,3.593156823,3.495072852,3.07771148,3.557582803,3.410482543,4.250094367,4.768186163
PP_2935,2.971686098,2.934730075,3.207781161,3.769471606,2.570853057,1.736015764,1.934492009,2.279982847,2.502200156,2.939741757
PP_2936,4.757884682,5.0986522,5.071184948,4.82215473,4.569819276,4.748184307,5.722618019,5.649619755,6.275359022,5.639022284
PP_2937,2.146811188,2.429532576,2.479159627,2.3670576,3.909451531,3.049383605,4.118623268,4.612254789,3.296985215,3.177867629
PP_2938,6.326535295,6.675385598,6.456134658,6.149434649,5.232840624,5.470025781,3.569297398,4.11007446,4.919478355,5.26219886
PP_2939,5.425377642,5.421096662,5.034387499,4.825664841,3.647732671,3.868104733,3.937409786,2.974218595,6.248199314,5.26219886
PP_2940,6.32313212,6.318106842,6.444036786,6.756686517,7.350007045,7.54719367,7.134072408,6.924527505,5.920405745,5.809020328
PP_2941,7.053622963,6.937452256,6.51246142,7.417145606,5.208378744,5.576627936,3.733133535,3.269748147,2.867314941,3.87560983
PP_2942,8.710833483,8.624368316,8.105474789,8.96341624,7.351290319,7.304251852,5.546772858,5.412433867,4.413999848,5.193687906
PP_2943,7.482668153,7.343659737,7.076713767,7.609906907,5.539311717,5.938065981,4.18248077,4.328658964,3.743026068,4.36009122
PP_2944,7.417875677,7.468886443,7.196535871,7.921950534,6.450533386,6.507288122,4.737623744,5.029586393,4.400951351,4.916460647
PP_2945,7.966840105,7.992006071,7.480848729,8.368330995,7.29467217,7.527477652,5.56821262,5.685203244,4.113827682,4.642616363
PP_2946,4.887392502,5.311807347,5.087841753,5.162162113,4.309837503,3.88369358,3.133217289,3.465691567,3.693949654,3.701429408
PP_2947,9.927790994,10.0807636,10.27936632,10.53330932,8.285615425,8.919474812,7.8393637,7.612896979,7.627921323,7.684345679
PP_2948,3.718887758,3.656555535,3.672851547,3.719896997,3.174978517,3.544463937,2.702600437,2.995889238,2.947468384,3.269371067
PP_2949,1.197462718,1.434193212,1.686761575,2.009249767,1.585421905,2.539535509,1.009825546,1.46982648,1.279386516,0.940095162
PP_2950,7.165854386,7.330655625,7.325640483,7.762307594,4.72436319,5.501173199,4.884165023,4.525969262,5.741109282,6.134008779
PP_2951,6.416562894,6.451163806,6.189340035,6.575963857,5.270936912,5.519650753,4.568000426,4.618790386,5.209083445,5.453442628
PP_2952,3.581044978,3.606611469,3.726596243,3.857462821,4.313757053,4.464682467,4.46225342,4.532529786,3.993787203,4.337686753
PP_2953,1.825027501,1.832988931,1.431390138,1.451683571,1.444315785,1.618543107,0.78800027,1.45421069,1.341911139,0.260109938
PP_2954,1.163515079,0.965001209,1.40869346,2.462732413,0.533699316,0.442527902,0,0,0,0
PP_2955,2.940174246,3.014449634,3.342426567,3.155528855,2.863481868,2.764942571,1.899369003,1.661480146,1.754784878,1.5680789
PP_2956,4.877019863,4.959855874,4.817367751,4.791839556,3.953439919,3.940276667,2.991344056,2.515185614,2.113832243,2.294639946
PP_2957,3.824728412,3.856168885,3.553504662,3.763466181,2.778920013,3.15044497,2.286933319,2.633734903,3.445093902,3.506850176
PP_2958,1.809778519,2.20396362,3.759319939,4.688899194,0.747128666,0.626751531,0,0.893197869,2.545877833,1.738167044
PP_2959,4.090655435,3.857717754,4.056718058,4.737366582,3.972347858,4.18132849,3.241874593,3.362482938,2.669213856,2.670628256
PP_2960,5.796055856,5.476970783,5.980895596,6.201616107,4.683205487,4.998699032,3.980858733,3.608804225,3.430969742,4.185684916
PP_2961,3.438464839,3.599795738,3.249907279,3.202776229,3.614700104,3.536637058,2.624303313,3.31877204,2.729351236,2.784468371
PP_2962,4.596043863,4.608029792,4.15856036,4.397459875,4.274658627,4.493435439,3.778193926,3.969033522,2.41233215,3.224592456
PP_2964,7.206109812,7.019335389,6.626368794,6.844607039,6.188369021,6.224059764,4.485019338,4.644616096,3.702174553,4.343427668
PP_2965,2.927692923,3.827097791,3.800808986,3.703248017,2.643546862,3.235475788,1.384862986,1.141338769,1.433947128,2.099617552
PP_2968,3.482031315,3.449778238,3.157125795,2.720725723,3.112905357,3.261575997,3.041820205,3.249130774,3.111211266,3.390172742
PP_2969,5.1231331,5.250504923,5.596946113,5.560579714,3.324045158,3.274295464,3.411554939,1.712900381,3.676863173,3.413729584
PP_2970,2.187150901,2.612673615,1.987166077,2.9390187,3.038566537,2.030922623,1.39224228,2.393847301,2.620111492,2.577706034
PP_2971,3.687672835,4.11724857,2.924528492,3.856122443,3.894776549,3.98917222,3.791156835,3.961135085,2.799544277,3.084531758
PP_2972,0,0,0,0,0,0,0,0.790039977,0,0.733168633
PP_2973,0,0,0.680716842,0,0,0.83568766,0,0,0,0.642973142
PP_2974,1.405104196,1.535243857,1.277090699,0.843126424,0.505922708,0.881362007,0.773389853,0.339565977,0.247642156,0.56764218
PP_2975,3.134132652,3.412583859,2.320001171,2.913256005,1.55788153,1.028176359,2.566719933,1.399337776,1.727470375,2.633861999
PP_2976,2.837665623,3.538756919,2.351358939,3.119621921,2.711269237,2.04089701,0,1.633899125,3.156491923,4.080859847
PP_2977,3.163006499,3.316163019,3.651163687,3.311528944,2.579851874,2.706734871,2.80367469,2.421005395,2.837321946,2.924793954
PP_2978,5.00183085,4.878503828,4.368176423,4.506092636,3.447899899,3.672554453,2.8451832,3.108377806,3.240977876,3.740550577
PP_2979,2.351248842,2.002434157,2.316777748,2.342507147,0.854257103,1.198921463,0,0,1.660359421,0.549521527
PP_2980,0,0,0,0,0.790572069,0,0,1.508048642,0,0
PP_2981,4.497761135,4.278959818,4.810327973,4.80694821,4.062486149,4.324741251,3.566979257,4.049922864,4.708639079,4.606223225
PP_2982,5.075396983,5.158810431,5.121789661,5.296482223,5.247717353,5.487838715,5.043010768,4.862532075,4.147776675,4.181415529
PP_2983,4.835008504,5.08073897,4.790457342,4.769593259,5.098387305,5.088400889,4.541410057,4.565619101,4.616840612,4.238380031
PP_2984,5.624872381,5.680973678,6.209045356,6.825125225,6.627236572,6.875401129,5.895681066,5.777152759,3.498644906,4.234282033
PP_2985,4.387991762,4.47720141,3.579718494,3.945234528,2.814111993,3.067712308,4.025116749,3.831894386,4.025794352,3.961397076
PP_2986,3.835490054,3.807830127,3.127455307,3.589375035,3.262020627,3.584928581,3.833412171,3.689581397,3.975935132,3.854684141
PP_2987,6.017704808,6.177716727,6.11480706,6.095495775,5.532150247,5.933011975,5.693450139,5.355711002,5.770693302,5.237785692
